zone_name,cycle_number,start_datetime,end_datetime,start_frame,end_frame,elapsed_seconds,adjusted_time_seconds,is_outlier,created_at
A_Assemble,1,"2025-10-13 09:00:00.000","2025-10-13 09:00:04.688",0,141,4.689,4.689,0,"2025-10-13 09:00:00"
A_Assemble,2,"2025-10-13 09:00:06.000","2025-10-13 09:00:10.788",100,244,4.788,4.788,0,"2025-10-13 09:00:06"
A_Assemble,3,"2025-10-13 09:00:12.000","2025-10-13 09:00:16.527",200,336,4.527,4.527,0,"2025-10-13 09:00:12"
A_Assemble,4,"2025-10-13 09:00:18.000","2025-10-13 09:00:22.620",300,439,4.62,4.62,0,"2025-10-13 09:00:18"
A_Assemble,5,"2025-10-13 09:00:24.000","2025-10-13 09:00:28.687",400,541,4.688,4.688,0,"2025-10-13 09:00:24"
A_Assemble,6,"2025-10-13 09:00:30.000","2025-10-13 09:00:34.957",500,649,4.958,4.958,0,"2025-10-13 09:00:30"
A_Assemble,7,"2025-10-13 09:00:36.000","2025-10-13 09:00:40.867",600,746,4.867,4.867,0,"2025-10-13 09:00:36"
A_Assemble,8,"2025-10-13 09:00:42.000","2025-10-13 09:00:46.675",700,840,4.675,4.675,0,"2025-10-13 09:00:42"
A_Assemble,9,"2025-10-13 09:00:48.000","2025-10-13 09:00:52.791",800,944,4.792,4.792,0,"2025-10-13 09:00:48"
A_Assemble,10,"2025-10-13 09:00:54.000","2025-10-13 09:00:58.724",900,1042,4.725,4.725,0,"2025-10-13 09:00:54"
A_Assemble,11,"2025-10-13 09:01:00.000","2025-10-13 09:01:04.575",1000,1137,4.575,4.575,0,"2025-10-13 09:01:00"
A_Assemble,12,"2025-10-13 09:01:06.000","2025-10-13 09:01:10.600",1100,1238,4.601,4.601,0,"2025-10-13 09:01:06"
A_Assemble,13,"2025-10-13 09:01:12.000","2025-10-13 09:01:16.573",1200,1337,4.574,4.574,0,"2025-10-13 09:01:12"
A_Assemble,14,"2025-10-13 09:01:18.000","2025-10-13 09:01:22.689",1300,1441,4.689,4.689,0,"2025-10-13 09:01:18"
A_Assemble,15,"2025-10-13 09:01:24.000","2025-10-13 09:01:28.718",1400,1542,4.719,4.719,0,"2025-10-13 09:01:24"
A_Assemble,16,"2025-10-13 09:01:30.000","2025-10-13 09:01:34.485",1500,1635,4.485,4.485,0,"2025-10-13 09:01:30"
A_Assemble,17,"2025-10-13 09:01:36.000","2025-10-13 09:01:40.827",1600,1745,4.828,4.828,0,"2025-10-13 09:01:36"
A_Assemble,18,"2025-10-13 09:01:42.000","2025-10-13 09:01:46.704",1700,1841,4.704,4.704,0,"2025-10-13 09:01:42"
A_Assemble,19,"2025-10-13 09:01:48.000","2025-10-13 09:01:52.680",1800,1940,4.68,4.68,0,"2025-10-13 09:01:48"
A_Assemble,20,"2025-10-13 09:01:54.000","2025-10-13 09:01:58.660",1900,2040,4.661,4.661,0,"2025-10-13 09:01:54"
A_Assemble,21,"2025-10-13 09:02:00.000","2025-10-13 09:02:04.890",2000,2147,4.891,4.891,0,"2025-10-13 09:02:00"
A_Assemble,22,"2025-10-13 09:02:06.000","2025-10-13 09:02:10.677",2100,2240,4.677,4.677,0,"2025-10-13 09:02:06"
A_Assemble,23,"2025-10-13 09:02:12.000","2025-10-13 09:02:16.678",2200,2340,4.678,4.678,0,"2025-10-13 09:02:12"
A_Assemble,24,"2025-10-13 09:02:18.000","2025-10-13 09:02:22.786",2300,2444,4.786,4.786,0,"2025-10-13 09:02:18"
A_Assemble,25,"2025-10-13 09:02:24.000","2025-10-13 09:02:28.699",2400,2541,4.7,4.7,0,"2025-10-13 09:02:24"
A_Assemble,26,"2025-10-13 09:02:30.000","2025-10-13 09:02:34.793",2500,2644,4.794,4.794,0,"2025-10-13 09:02:30"
A_Assemble,27,"2025-10-13 09:02:36.000","2025-10-13 09:02:40.710",2600,2741,4.71,4.71,0,"2025-10-13 09:02:36"
A_Assemble,28,"2025-10-13 09:02:42.000","2025-10-13 09:02:46.707",2700,2841,4.708,4.708,0,"2025-10-13 09:02:42"
A_Assemble,29,"2025-10-13 09:02:48.000","2025-10-13 09:02:52.844",2800,2945,4.844,4.844,0,"2025-10-13 09:02:48"
A_Assemble,30,"2025-10-13 09:02:54.000","2025-10-13 09:02:58.692",2900,3041,4.693,4.693,0,"2025-10-13 09:02:54"
A_Assemble,31,"2025-10-13 09:03:00.000","2025-10-13 09:03:04.591",3000,3138,4.592,4.592,0,"2025-10-13 09:03:00"
A_Assemble,32,"2025-10-13 09:03:06.000","2025-10-13 09:03:10.548",3100,3236,4.549,4.549,0,"2025-10-13 09:03:06"
A_Assemble,33,"2025-10-13 09:03:12.000","2025-10-13 09:03:16.706",3200,3341,4.707,4.707,0,"2025-10-13 09:03:12"
A_Assemble,34,"2025-10-13 09:03:18.000","2025-10-13 09:03:22.584",3300,3438,4.584,4.584,0,"2025-10-13 09:03:18"
A_Assemble,35,"2025-10-13 09:03:24.000","2025-10-13 09:03:28.789",3400,3544,4.79,4.79,0,"2025-10-13 09:03:24"
A_Assemble,36,"2025-10-13 09:03:30.000","2025-10-13 09:03:34.733",3500,3642,4.733,4.733,0,"2025-10-13 09:03:30"
A_Assemble,37,"2025-10-13 09:03:36.000","2025-10-13 09:03:40.662",3600,3740,4.663,4.663,0,"2025-10-13 09:03:36"
A_Assemble,38,"2025-10-13 09:03:42.000","2025-10-13 09:03:46.621",3700,3839,4.622,4.622,0,"2025-10-13 09:03:42"
A_Assemble,39,"2025-10-13 09:03:48.000","2025-10-13 09:03:52.691",3800,3941,4.691,4.691,0,"2025-10-13 09:03:48"
A_Assemble,40,"2025-10-13 09:03:54.000","2025-10-13 09:03:58.771",3900,4043,4.771,4.771,0,"2025-10-13 09:03:54"
A_Assemble,41,"2025-10-13 09:04:00.000","2025-10-13 09:04:04.802",4000,4144,4.803,4.803,0,"2025-10-13 09:04:00"
A_Assemble,42,"2025-10-13 09:04:06.000","2025-10-13 09:04:10.556",4100,4237,4.557,4.557,0,"2025-10-13 09:04:06"
